001-PR-00679.txt: ([('NEG', 0.5070552585219643), ('NEU', 0.4826250211043917), ('POS', 0.010319720373643957)])
001-PR-00842.txt: ([('NEG', 0.5283181814498025), ('NEU', 0.44248542635371685), ('POS', 0.029196392196480698)])
001-PR-02460.txt: ([('NEG', 0.3546565888376952), ('NEU', 0.6098195046922397), ('POS', 0.03552390647006517)])
001-PR-02906.txt: ([('NEG', 0.45520651830625847), ('NEU', 0.5298548272488053), ('POS', 0.014938654444936306)])
001-VI-00001.txt: ([('NEG', 0.5734480445428315), ('NEU', 0.4071682816662648), ('POS', 0.01938367379090378)])
001-VI-00002.txt: ([('NEG', 0.4525309624622379), ('NEU', 0.47678730150387233), ('POS', 0.07068173603388977)])
001-VI-00003.txt: ([('NEG', 0.40417419156631035), ('NEU', 0.5520439218805658), ('POS', 0.04378188655312381)])
001-VI-00004.txt: ([('NEG', 0.5879333521262853), ('NEU', 0.39520031390581495), ('POS', 0.016866333967899747)])
001-VI-00005.txt: ([('NEG', 0.536485076821332), ('NEU', 0.3961443480102681), ('POS', 0.06737057516839996)])
001-VI-00006.txt: ([('NEG', 0.49636688193364303), ('NEU', 0.4755752407973598), ('POS', 0.0280578772689972)])
001-VI-00007.txt: ([('NEG', 0.45045328437688825), ('NEU', 0.4938390903770137), ('POS', 0.05570762524609806)])
001-VI-00008.txt: ([('NEG', 0.5595989327599393), ('NEU', 0.39861197170449386), ('POS', 0.04178909553556679)])
001-VI-00009.txt: ([('NEG', 0.4062589083363811), ('NEU', 0.5251795523667421), ('POS', 0.06856153929687676)])
001-VI-00010.txt: ([('NEG', 0.5084407877782334), ('NEU', 0.4628599649929186), ('POS', 0.02869924722884797)])
001-VI-00011.txt: ([('NEG', 0.49960884835128055), ('NEU', 0.4887204984717664), ('POS', 0.011670653176953013)])
001-VI-00012.txt: ([('NEG', 0.5360943110976585), ('NEU', 0.4220550428617715), ('POS', 0.04185064604057006)])
001-VI-00013.txt: ([('NEG', 0.503325418496538), ('NEU', 0.44282186414397245), ('POS', 0.05385271735948951)])
001-VI-00014.txt: ([('NEG', 0.41407158830513474), ('NEU', 0.5269093936680345), ('POS', 0.05901901802683083)])
001-VI-00015.txt: ([('NEG', 0.4644498044825247), ('NEU', 0.5287697367452613), ('POS', 0.006780458772213978)])
001-VI-00016.txt: ([('NEG', 0.6053442183946022), ('NEU', 0.3666121247749532), ('POS', 0.028043656830444665)])
001-VI-00017.txt: ([('NEG', 0.5016017188350885), ('NEU', 0.45739779008192527), ('POS', 0.04100049108298624)])
001-VI-00018.txt: ([('NEG', 0.5247069858060511), ('NEU', 0.430819637199303), ('POS', 0.04447337699464593)])
001-VI-00019.txt: ([('NEG', 0.48113333505827366), ('NEU', 0.47680073564790315), ('POS', 0.04206592929382318)])
001-VI-00020.txt: ([('NEG', 0.5304397745558613), ('NEU', 0.418310316165799), ('POS', 0.05124990927833973)])
001-VI-00023.txt: ([('NEG', 0.5281199048973679), ('NEU', 0.4052161397047409), ('POS', 0.06666395539789109)])
001-VI-00031.txt: ([('NEG', 0.4497660923813294), ('NEU', 0.5245258833053431), ('POS', 0.025708024313327464)])
001-VI-00034.txt: ([('NEG', 0.47844479411087), ('NEU', 0.5008440519419554), ('POS', 0.0207111539471746)])
