código de la entrevista,cantidad de personas entrevistadas,Macroterritorio donde se realiza la entrevista,Territorio donde se realiza la entrevista,Mes de la entrevista,Departamento donde se realiza la entrevista,Municipio donde se realiza la entrevista,"Hechos, año de inicio","Hecho, año de finalización",Sector con el que se puede identificar las víctimas del relato,Tipo de entrevista,Entrevista transcrita?,Entrevista etiquetada?,De interés para: Esclarecimiento,De interés para: Reconocimiento,De interés para: Convivencia,De interés para: No Repetición,De interés para: Enfoque de género,De interés para: Psicosocial,De interés para: Curso de Vida,De interés para: Dirección de investigación,De interés para: Territorios,De interés para: Dirección étnica,De interés para: Comisionados,De interés para: Estrategia - Arte,De interés para: Estrategia - Comunicación,De interés para: Estrategia - Participación,De interés para: Estrategia - Pedagogía,De interés para: Grupo de Acceso a la información,De interés para: Presidencia,De interés para: Otros,De interés para: Enlace interinstitucional,De interés para: SIM,De interés para el área: Pueblos Étnicos,De interés para el área: Diálogo social,De interés para el área: Género,De interés para el área: Enfoque psico social,De interés para el área: Curso de Vida,De interés para el área: Núcleo 1,De interés para el área: Núcleo 2,De interés para el área: Núcleo 3,De interés para el área: Núcleo 4,De interés para el área: Núcleo 5,De interés para el área: Núcleo 6,De interés para el área: Núcleo 7,De interés para el área: Núcleo 8,De interés para el área: Núcleo 9,De interés para el área: Núcleo 10,Coincide con el mandato 01,Coincide con el mandato 02,Coincide con el mandato 03,Coincide con el mandato 04,Coincide con el mandato 05,Coincide con el mandato 06,Coincide con el mandato 07,Coincide con el mandato 08,Coincide con el mandato 09,Coincide con el mandato 10,Coincide con el mandato 11,Coincide con el mandato 12,Coincide con el mandato 13,Transcripción Anomizada?,url transcipción anonimizada
125-AA-00001,1,Magdalena Medio,Barrancabermeja,2019-06,SANTANDER,BARRANCABERMEJA,2019,2019,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
125-AA-00002,1,Magdalena Medio,Barrancabermeja,2019-06,SANTANDER,BARRANCABERMEJA,2019,2019,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
125-AA-00003,1,Magdalena Medio,Barrancabermeja,2019-06,SANTANDER,BARRANCABERMEJA,2019,2019,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
125-AA-00004,1,Magdalena Medio,Barrancabermeja,2019-06,SANTANDER,BARRANCABERMEJA,2019,2019,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
125-AA-00005,1,Magdalena Medio,Barrancabermeja,2019-06,SANTANDER,BARRANCABERMEJA,2019,2019,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
216-AA-00001,1,Surandina,Cali,2019-07,VALLE DEL CAUCA,CALI,1997,2000,Sin Especificar,AA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,Si,http://archivo.comisiondelaverdad.co/explora/detalle/216-AA-00001
266-AA-00002,1,Orinoquia,Florencia,2019-07,CAQUETÁ,SAN VICENTE DEL CAGUÁN,2001,2001,Sin Especificar,AA,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Si,http://archivo.comisiondelaverdad.co/explora/detalle/266-AA-00002
223-AA-00001,1,Magdalena Medio,Barrancabermeja,2019-06,SANTANDER,BARRANCABERMEJA,1980,2016,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Si,http://archivo.comisiondelaverdad.co/explora/detalle/223-AA-00001
253-AA-00001,1,Orinoquia,Villavicencio,2019-06,META,LA MACARENA,2008,2016,Sin Especificar,AA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,
266-AA-00003,1,Orinoquia,Florencia,2019-07,CAQUETÁ,SAN VICENTE DEL CAGUÁN,1998,1998,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Si,http://archivo.comisiondelaverdad.co/explora/detalle/266-AA-00003
109-AA-00001,1,Caribe e Insular,Sincelejo,2019-08,SUCRE,SINCELEJO,2005,2005,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
173-AA-00001,1,Orinoquia,Florencia,2019-07,CAQUETÁ,SAN VICENTE DEL CAGUÁN,2007,2016,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,,
173-AA-00002,1,Orinoquia,Florencia,2019-07,CAQUETÁ,SAN VICENTE DEL CAGUÁN,2000,2016,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,
088-AA-00001,1,Caribe e Insular,Valledupar,2019-08,CESAR,VALLEDUPAR,1973,2017,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,Si,http://archivo.comisiondelaverdad.co/explora/detalle/088-AA-00001
088-AA-00002,1,Caribe e Insular,Valledupar,2019-08,CESAR,LA PAZ,1996,2013,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,Si,http://archivo.comisiondelaverdad.co/explora/detalle/088-AA-00002
088-AA-00003,1,Caribe e Insular,Valledupar,2019-08,LA GUAJIRA,FONSECA,1975,2007,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,Si,http://archivo.comisiondelaverdad.co/explora/detalle/088-AA-00003
238-AA-00001,1,Caribe e Insular,Valledupar,2019-08,CESAR,MANAURE BALCÓN DEL CESAR,1993,2016,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,
238-AA-00002,1,Caribe e Insular,Valledupar,2019-08,CESAR,MANAURE BALCÓN DEL CESAR,2002,2016,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
238-AA-00003,1,Caribe e Insular,Valledupar,2019-08,LA GUAJIRA,FONSECA,1997,2016,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,
238-AA-00004,1,Caribe e Insular,Valledupar,2019-08,LA GUAJIRA,FONSECA,1993,2016,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,,
267-AA-00001,1,Orinoquia,San José del Guaviare,2019-07,GUAVIARE,SAN JOSÉ DEL GUAVIARE,2014,2019,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,Si,http://archivo.comisiondelaverdad.co/explora/detalle/267-AA-00001
308-AA-00001,1,Orinoquia,San José del Guaviare,2019-08,GUAVIARE,SAN JOSÉ DEL GUAVIARE,1997,2004,Sin Especificar,AA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Si,http://archivo.comisiondelaverdad.co/explora/detalle/308-AA-00001
